ProbeID	REGENS:248	REGENS:249	REGENS:250	REGENS:251	REGENS:252	REGENS:253
ENSDART00000135562	0.532693965	1.185902467	0.53979491	0.429227828	0.642385849	0.427944449
ENSDART00000135563	0.355176982	0.165344672	0.180734167	0.249757115	0.208901612	0.277986875
ENSDART00000135564	0	0	0	0	0.044270411	0
ENSDART00000135565	0.116022338	0.04314638	0	0	0	0
ENSDART00000135566	0	0	0	0	0	0
ENSDART00000135567	0	0.125750903	0	0.130276517	0.087222692	0.145678621
ENSDART00000135568	3.112450637	3.122847763	3.196573226	3.402770022	3.258433511	3.03535964
ENSDART00000135569	3.850674803	2.803355766	3.51895132	3.381123446	3.191115903	2.987843061
ENSDART00000135571	0	0	0	0	0	0
ENSDART00000135572	0	0	0	0	0	0
ENSDART00000135573	1.404325869	1.840149698	1.084791243	1.310662496	0.904984311	1.062861985
ENSDART00000135574	0.416808389	0.348489004	0.34132666	0.360094968	0.458317862	0.309251303
ENSDART00000135575	0	0	0	0	0	0
ENSDART00000135576	0.587323204	0.738021389	0.485820034	0.676738529	0.753223425	0.687905127
ENSDART00000135577	2.675240105	2.324038912	1.916850836	3.076263598	2.318658634	2.918575664
ENSDART00000135578	0.386321769	0	0	0.171212741	0.169471352	0.145678621
ENSDART00000135579	0.257493138	0	0	0.130276517	0.044270411	0.110614702
ENSDART00000135580	0	0	0	0	0	0
ENSDART00000135581	0	0	0	0	0	0.074677299
ENSDART00000135582	0	0	0	0	0	0
ENSDART00000135583	0.690742009	0	0	0	0	0
ENSDART00000135584	0.290794753	0.125750903	0.180734167	0.249757115	0.169471352	0.179910513
ENSDART00000135585	0.639959098	0	0.371406294	0.324245198	0.321111424	0
ENSDART00000135586	0	0	0	0	0	0
ENSDART00000135587	6.041609101	4.63056267	5.542778467	5.619567488	5.650629307	5.393670444
ENSDART00000135588	0	0	0	0.088144729	0	0.145678621
ENSDART00000135589	0	0	0	0	0	0
ENSDART00000135590	0.983311933	1.044427139	1.084791243	1.292224039	0.831098464	1.025699451
ENSDART00000135591	0	0	0	0.171212741	0.128933072	0.074677299
ENSDART00000135592	1.081728175	1.496467205	1.334253712	1.346847161	1.372528909	1.081090331
ENSDART00000135593	2.201928053	1.465082466	2.775171029	2.477073004	1.655419955	1.838582399
ENSDART00000135595	1.50707936	1.60123009	2.043686292	1.328868271	1.697610809	1.474930474
ENSDART00000135596	0	0	0.075031748	0.130276517	0.044270411	0.074677299
ENSDART00000135597	0.941985348	1.511907201	1.493167392	1.450255	1.597174751	2.038379517
ENSDART00000135598	0.078375512	0.277995981	0	0.130276517	0	0
ENSDART00000135599	0.446664084	0.448162926	0.666507908	0.912291393	0.613292875	0.399174028
ENSDART00000135600	1.209122492	1.126960419	1.223178728	1.235451122	1.042289634	1.488651355
ENSDART00000135601	0.15271171	0	0	0	0.169471352	0
ENSDART00000135602	0.039719917	0.04314638	0	0	0.044270411	0
ENSDART00000135603	0	0	0	0.044745435	0.044270411	0
ENSDART00000135604	0.290794753	0.88755472	0.971527658	0.863169335	1.063955121	0.66391832
ENSDART00000135605	2.996128793	3.266308553	2.989129581	2.958424755	3.166291809	2.8930086
ENSDART00000135606	6.490359664	6.480305415	6.359614581	6.51475054	6.24567187	5.899104468
ENSDART00000135608	0.039719917	0	0	0	0	0
ENSDART00000135609	0.078375512	0.125750903	0.075031748	0.249757115	0.321111424	0.110614702
ENSDART00000135610	0	0	0	0	0	0.03782178
ENSDART00000135612	1.22643698	1.957564262	1.155643666	1.005785796	1.456831514	1.515707733
ENSDART00000135613	0	0	0	0	0	0.03782178
ENSDART00000135614	0	0.04314638	0.075031748	0	0	0
ENSDART00000135615	0.039719917	0.04314638	0.111133265	0.211019384	0.044270411	0.110614702
ENSDART00000135616	2.681531193	2.771638501	2.530542079	2.594592643	2.683048329	2.463534313
ENSDART00000135617	0.078375512	0.125750903	0	0	0	0
ENSDART00000135618	3.171749571	3.061215418	3.055479867	3.482186488	3.577454595	3.198701405
ENSDART00000135619	0.690742009	1.001319623	0.931707015	0.837966522	0.805604347	0.824009334
ENSDART00000135620	2.991072449	3.594649992	3.301848056	3.190187784	2.848228049	3.117134328
ENSDART00000135622	0.475914439	0.20388078	0.485820034	0.732507331	0.490673312	0.456152326
ENSDART00000135623	0	0	0.075031748	0	0	0
ENSDART00000135624	0	0	0	0	0	0
ENSDART00000135625	0.290794753	0.165344672	0.247131238	0.088144729	0.044270411	0.456152326
ENSDART00000135626	0	0.04314638	0	0	0	0
ENSDART00000135627	2.796127376	2.196072546	0.890755987	2.717145407	2.44787151	2.757900337
ENSDART00000135628	0	0	0	0	0	0
ENSDART00000135629	0.323344981	0.382484563	0.371406294	0.6480243	0.670903721	0.51096554
ENSDART00000135630	0	0	0	0	0	0
ENSDART00000135631	5.794845447	5.530887037	5.770769677	5.76455196	5.539031635	5.294632581
ENSDART00000135632	3.697686296	3.465799596	3.0693093	3.190187784	3.110127031	2.973277456
ENSDART00000135633	5.422881789	5.394892708	5.203494884	4.851924957	5.045884145	4.987915247
ENSDART00000135635	0.386321769	0.241414266	0.310606498	0.395075458	0.208901612	0.145678621
ENSDART00000135636	0.039719917	0.085039773	0.146353401	0.171212741	0	0.074677299
ENSDART00000135637	0.078375512	0	0.075031748	0.249757115	0.087222692	0.074677299
ENSDART00000135639	0.504583515	0.277995981	0.371406294	0.287481842	0.458317862	0.277986875
ENSDART00000135640	3.428944623	3.672282338	3.301848056	3.239139728	3.672189308	3.803496647
ENSDART00000135642	0	0	0.310606498	0	0.169471352	0
ENSDART00000135643	0	0	0	0	0	0
ENSDART00000135644	0.690742009	0.789607236	0.951754721	0.676738529	1.264398865	0.824009334
ENSDART00000135645	0.257493138	0.241414266	0	0	0.128933072	0
ENSDART00000135646	3.121733704	3.018614063	3.200767546	3.367977865	3.181237463	2.8930086
ENSDART00000135647	2.824830219	2.83439071	2.758195571	3.234318605	2.903348345	2.958563295
ENSDART00000135648	0	0	0	0	0	0
ENSDART00000135649	0	0	0	0.088144729	0	0
ENSDART00000135650	0.039719917	0	0	0	0.087222692	0
ENSDART00000135651	0	0	0	0	0	0.110614702
ENSDART00000135652	0	0	0	0	0	0
ENSDART00000135653	0	0	0	0	0	0
ENSDART00000135654	0	0	0	0	0.087222692	0
ENSDART00000135655	3.220089413	2.341427306	2.4623053	2.861703238	2.933084553	2.399608209
ENSDART00000135656	0	0	0	0	0	0
ENSDART00000135658	0.386321769	0	0	0.49519883	0.642385849	0.614714056
ENSDART00000135659	1.964613734	2.644322173	2.523861818	2.717145407	2.944809518	2.456569696
ENSDART00000135660	0.257493138	0.125750903	0.146353401	0	0.208901612	0.074677299
ENSDART00000135661	0.941985348	0.448162926	1.303380945	1.254624738	1.372528909	1.062861985
ENSDART00000135663	0	0	0	0	0	0
ENSDART00000135664	0	0	0	0	0	0
ENSDART00000135665	0.290794753	0.165344672	0.400871567	0.130276517	0.208901612	0.309251303
ENSDART00000135666	1.50707936	1.314734855	1.408663339	1.450255	1.319476694	1.680192034
ENSDART00000135667	0	0	0	0	0	0
ENSDART00000135668	0.116022338	0.165344672	0.180734167	0.130276517	0.087222692	0.145678621
ENSDART00000135669	4.041286264	4.112909432	3.662712663	3.950377854	3.686227145	3.767368104
ENSDART00000135670	0.15271171	0	0.214314643	0.287481842	0	0
ENSDART00000135671	2.80191381	2.579854171	3.123338302	3.568992534	3.249006895	2.835113419
ENSDART00000135672	0.587323204	0.911036713	0.485820034	1.235451122	1.226476329	1.202620486
ENSDART00000135675	0.039719917	0	0.111133265	0	0	0
